# Run complete. Total time: 01:36:21

Benchmark                                                                      Mode   Samples        Score  Score error    Units
j.e.b.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryKey            thrpt        30       41.391        0.097   ops/us
j.e.b.dataStructures.JMHConcurrentObjectCacheBenchmark.cacheTryMissingKey     thrpt        30       50.591        0.848   ops/us
j.e.b.dataStructures.JMHHashMapBenchmark.hashMapGet                           thrpt        30       58.338        0.048   ops/us
j.e.b.dataStructures.JMHHashMapBenchmark.hashMapGetMissingKey                 thrpt        30       76.878        0.223   ops/us
j.e.b.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGet                   thrpt        30       57.288        0.557   ops/us
j.e.b.dataStructures.JMHJavaUtilHashMapBenchmark.hashMapGetMissingKey         thrpt        30       68.601        0.634   ops/us
j.e.b.dataStructures.JMHObjectCacheBenchmark.cacheTryKey                      thrpt        30       11.315        0.053   ops/us
j.e.b.dataStructures.JMHObjectCacheBenchmark.cacheTryMissingKey               thrpt        30       58.619        0.382   ops/us
j.e.b.env.JMHEnvTokyoCabinetReadBenchmark.randomRead                             ss        60        2.722        0.031        s
j.e.b.env.JMHEnvTokyoCabinetReadBenchmark.successiveRead                         ss        60        0.148        0.045        s
j.e.b.env.JMHEnvTokyoCabinetWriteBenchmark.randomWrite                           ss        60        2.235        0.056        s
j.e.b.env.JMHEnvTokyoCabinetWriteBenchmark.successiveWrite                       ss        60        0.798        0.062        s
j.e.b.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.randomRead                ss        60        1.428        0.050        s
j.e.b.env.JMHEnvWithPrefixingTokyoCabinetReadBenchmark.successiveRead            ss        60        0.319        0.028        s
j.e.b.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.randomWrite              ss        60        1.754        0.113        s
j.e.b.env.JMHEnvWithPrefixingTokyoCabinetWriteBenchmark.successiveWrite          ss        60        0.773        0.060        s
j.e.b.je.JMH_JETokyoCabinetLikeReadBenchmark.randomRead                          ss        60        3.446        0.039        s
j.e.b.je.JMH_JETokyoCabinetLikeReadBenchmark.successiveRead                      ss        60        1.671        0.189        s
j.e.b.je.JMH_JETokyoCabinetLikeWriteBenchmark.randomWrite                        ss        60        6.522        0.166        s
j.e.b.je.JMH_JETokyoCabinetLikeWriteBenchmark.successiveWrite                    ss        60        3.809        0.208        s
j.e.b.je.JMH_JEWithPrefixingTokyoCabinetLikeReadBenchmark.randomRead             ss        60        3.735        0.029        s
j.e.b.je.JMH_JEWithPrefixingTokyoCabinetLikeReadBenchmark.successiveRead         ss        60        1.391        0.205        s
j.e.b.je.JMH_JEWithPrefixingTokyoCabinetLikeWriteBenchmark.randomWrite           ss        60        6.598        0.227        s
j.e.b.je.JMH_JEWithPrefixingTokyoCabinetLikeWriteBenchmark.successiveWrite       ss        60        3.988        0.235        s
